header,class,mechanism,group
Bla|AJ746225.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|10180985|gb|AY007369.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
gi|114386381|gb|DQ834728.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|SHV-168|JX870080|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|TEM-117|AY130282|1-764|764|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
AGly|AacA29b|AY139599|768-1148|381|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|698174163|gb|KM087836.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
700|M29953.1|CAJAPHA7A|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
Flq|QnrB19|EU432277|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|OCH-7|AJ295345|1-1173|1173|betalactams|Class_C_betalactamases|OCH,betalactams,Class C betalactamases,OCH
Gly|VanR-C_3_EU151752|Glycopeptides|VanC-type_regulator|VANRC,Glycopeptides,VanC-type regulator,VANRC
@phgb|AB709942|1194-1749|ARO:3003677|AAC6-PRIME-Iaj|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|TEM-190|JN416112|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|QnrB62_1_JX987101|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MLS|msrD_3_AF227520|MLS|Macrolide_resistance_efflux_pumps|MSRD,MLS,Macrolide resistance efflux pumps,MSRD
569|DQ018711.1|DQ018711|Glycopeptides|VanA-type_accessory_protein|VANWA,Glycopeptides,VanA-type accessory protein,VANWA
Flq|NC_011595.7059884|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
MLS|AE000516.2|gene2130|MLS|23S_rRNA_methyltransferases|ERM37,MLS,23S rRNA methyltransferases,ERM37
Bla|DQ463751.1|gene1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|46370396|gb|AY589495.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|QnrB13_1_EU273755|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
gi|693581978|dbj|LC004922.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Bla|OXA-353_1_KF297582|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tmt|tetQ_2_X58717|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ
748|AB364006.1|AB364006|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
gi|221149271|gb|EU418913.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|SHV-5_8_AY502004|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Tmt|DfrA17|AB126604|98-571|474|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
AGly|rmtE_1_GU201947|Aminoglycosides|16S_rRNA_methyltransferases|RMTE,Aminoglycosides,16S rRNA methyltransferases,RMTE
Flq|NC_003923.1003354|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
gi|392295711|gb|JQ422053.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|Erm30|AF079138|1283-2293|1011|MLS|23S_rRNA_methyltransferases|ERM30,MLS,23S rRNA methyltransferases,ERM30
1181|X91840.1|X91840|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXA-90|EU547443|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-30|AY292654|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Gly|AY082011.1|gene5|Glycopeptides|VanD-type_accessory_protein|VANYD,Glycopeptides,VanD-type accessory protein,VANYD
Bla|NDM-7|JX412225|1-813|813|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
Bla|OKP-A-7|AM051145|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
@phgb|EF660563|392-845|ARO:3002850|arr-5|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR
gi|166850617|gb|EU402393.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|121495528|emb|AM411407.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
60|unknown_id|unknown_name|betalactams|Penicillin_binding_protein_regulator|BLAI,betalactams,Penicillin binding protein regulator,BLAI
gi|336318752|gb|JF780936.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
1234|AY139598.1|AY139598|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@pvgb|NC_002952|5036-6968|ARO:3003301|Staphylococcus|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRB,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,GYRB
1389|FN561628.1|FN561628|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
Flq|NC_012469.1.7686721|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
gi|380035723|dbj|AB703103.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Gly|VanX-Pt2|AY926880|4769-5377|609|Glycopeptides|VanA-type_resistance_protein|VANXA,Glycopeptides,VanA-type resistance protein,VANXA
Bla|CMY-65_1_JF780936|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Mdr|CP000768.1|gene1537|Multi-drug_resistance|Multi-drug_efflux_pumps|cme,Multi-drug resistance,Multi-drug efflux pumps,cme
@phgb|NC_003197|2039657-2040380|ARO:3000826|sdiA|Multi-drug_resistance|MDR_regulator|SDIA,Multi-drug resistance,MDR regulator,SDIA
@phgb|JX514368|271-1417|ARO:3002107|CMY-94|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|AMPH_Ecoli|AP012030|395554-396711|1158|betalactams|Penicillin_binding_protein|AMPH,betalactams,Penicillin binding protein,AMPH
AGly|AB104852.1|gene4|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@pvgb|AL450380|296695-297550|ARO:3003389|Mycobacterium|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|cfiA9|AB087234|1-750|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA
Flq|QnrB46|JQ349154|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
gi|43935|emb|X55640.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|KC202804|3874-4531|ARO:3002803|QnrVC6|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,Fluoroquinolones,Quinolone resistance protein Qnr,QNRVC
939|U10186.1|ECU10186|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
gi|56554768|gb|AY847146.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Met|nimI_1_FJ940884|Metronidazole|nim_nitroimidazole_reductase|NIMI,Metronidazole,nim nitroimidazole reductase,NIMI
Bla|CEPA-44|U05885|556-1458|903|betalactams|Class_A_betalactamases|CEPA,betalactams,Class A betalactamases,CEPA
@phgb|AY339625|3640-4786|ARO:3002024|CMY-13|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|Aph6-Ia|AY971801|1-924|924|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
Bla|SHV-82|AM176557|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
AGly|aph3-prime-IIc_1_AM743169|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
Bla|CTX-M-24_8_EF374096|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|161367443|gb|EU274581.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|VIM-17|EU118148|1011-1811|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|SHV-135|HQ637576|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|NC_002516|4705955-4706402|ARO:3000806|mexG|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXG,Multi-drug resistance,Multi-drug efflux pumps,MEXG
gi|13591814|gb|AF357597.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Fos|AP010904.1|gene1560|Fosfomycin|Fosfomycin_hydrases|FOSX,Fosfomycin,Fosfomycin hydrases,FOSX
@phgb|NC_002516.2|5584100-5585549|ARO:3003682|OpmH|Multi-drug_resistance|Multi-drug_efflux_pumps|OPMH,Multi-drug resistance,Multi-drug efflux pumps,OPMH
gi|698174195|gb|KM087852.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Bla|CMY-51|JQ733571|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|CMY-69|JX049132|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@phgb|AF162694|2438-3011|ARO:3002966|vanXYC|Glycopeptides|VanC-type_resistance_protein|VANXYC,Glycopeptides,VanC-type resistance protein,VANXYC
Flq|NC_002952.2859949|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
1898|AM932669.1|AM932669|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|SHV-2_2_AF282921|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|Y10278|0-876|ARO:3001866|CTX-M-3|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
AGly|Aac6-Ib|M21682|380-985|606|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Mdr|AP009048.1|gene3616|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTL,Multi-drug resistance,Multi-drug efflux pumps,MDTL
Rif|CP001138.1|gene4362|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
gi|160948454|emb|AM176555.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
1297|KM926622.1|KM926622|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
740|JX560992.1|JX560992|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT9
Bla|TEM-6|X57972|340-1200|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Tmt|dfrA14_1_DQ388123|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
gi|110350793|emb|AM286274.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
MLS|ErmX|M36726|296-1150|855|MLS|23S_rRNA_methyltransferases|ERMX,MLS,23S rRNA methyltransferases,ERMX
Bla|CMY-60_1_HQ267531|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Gly|VanX-Sc|AL939117|55404-56012|609|Glycopeptides|VanA-type_resistance_protein|VANXA,Glycopeptides,VanA-type resistance protein,VANXA
1396|AJ419170.1|AJ419170|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
gi|407731522|gb|JX440352.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
419|U51479.1|EGU51479|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
Flq|QnrB12|AM774474|2435-3079|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
1271|AF167990.3|AF167990|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX
@phgb|M35190|0-624|ARO:3002670|cat|Phenicol|Phenicol_efflux_pumps|CAT,Phenicol,Phenicol efflux pumps,CAT
Tet|TetM|U08812|1981-3900|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
Flq|QnrB15|EU302865|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|GES-3_1_AB113580|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
AGly|AB114632.1|gene2|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|TEM-95|AJ308558|124-1084|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
MLS|Erm42|FR734406|1-906|906|MLS|23S_rRNA_methyltransferases|ERM42,MLS,23S rRNA methyltransferases,ERM42
gi|404432494|emb|HE963770.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|tet44_1_NZ_ABDU01000081|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET44
@phgb|L20573|1317-1944|ARO:3002988|bcrB|Bacitracin|Bacitracin_ABC_transporter|BCRB,Bacitracin,Bacitracin ABC transporter,BCRB
43|L20800.1|CLOTETP|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB
1203|AF318077.1|AF318077|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
gi|530540024|gb|KF361506.1|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
gi|56684452|gb|AY762325.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|AJ511268.1|gene2|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Sul|sul2_9_FJ197818|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Bla|X04121.1|gene1|betalactams|Class_A_betalactamases|BLAZ,betalactams,Class A betalactamases,BLAZ
Bla|TEM-152|DQ834728|206-1066|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OKP-B-16|AM850918|25-885|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
gi|74422852|gb|DQ174305.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
1175|AF317511.1|AF317511|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CMY-18|AY743434|47-1198|1152|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|B-11|AY348326|1-750|750|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
Bla|FOX-3|Y11068|17-1165|1149|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
Flq|CR628337.1|gene1424|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
706|X04555.1|X04555|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
Bla|DHA-5|JF273491|745-1885|1140|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Fos|fosA_8_ACHE01000077|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
gi|401871170|gb|JX121123.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|TEM-168|FJ919776|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|JN969893|0-873|ARO:3001990|CTX-M-131|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@pvgb|AL450380|5228-7265|ARO:3003304|Mycobacterium|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB
Bla|IMP-14|AY553332|114-854|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
gi|14588992|emb|AJ277415.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|392295713|gb|JQ422054.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|SulI|AF071413|6700-7539|840|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
954|M97297.1|TRNVAN|Glycopeptides|VanA-type_regulator|VANSA,Glycopeptides,VanA-type regulator,VANSA
Flq|NC_012491.1.7720231|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
gi|54873595|gb|AY277255.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|MOX-5|GQ152600|1-1152|1152|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX
Bla|TEM-21_1_Y17582|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|EU408350|11679-12585|ARO:3002488|LRA-9|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
@phgb|NC_007795|1360280-1361636|ARO:3000839|arlS|Multi-drug_resistance|MDR_regulator|ARLS,Multi-drug resistance,MDR regulator,ARLS
gi|77158012|gb|DQ211987.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|NC_003197|397056-398262|ARO:3000789|mdsA|Multi-drug_resistance|Multi-drug_efflux_pumps|MDSA,Multi-drug resistance,Multi-drug efflux pumps,MDSA
Mdr|AP009048.1|gene3415|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR
Bla|OXY6-1|AJ871873|1-876|876|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
gi|257359514|gb|GQ428198.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|AF188199|214-1075|ARO:3000936|TEM-70|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|13173097|gb|AF324834.1|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
Rif|NC_008702.1.4609796|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
gi|397911950|gb|JQ724542.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Gly|VanXYc3|AY033764|1075-1647|573|Glycopeptides|VanC-type_resistance_protein|VANXYC,Glycopeptides,VanC-type resistance protein,VANXYC
246|DQ679966.1|DQ679966|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXE,Multi-drug resistance,Multi-drug efflux pumps,MEXE
Sul|sul1_27_GU562437|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|TEM-133|AY528425|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|B13_1_JN173050|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
1416|DQ018710.1|DQ018710|Glycopeptides|VanA-type_regulator|VANRA,Glycopeptides,VanA-type regulator,VANRA
Phe|CmlA1|M64556|601-1860|1260|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
@phgb|NC_002695|4904931-4905630|ARO:3000831|cpxR|Multi-drug_resistance|MDR_regulator|CPXA,Multi-drug resistance,MDR regulator,CPXA
Tet|AB089595.1|gene1|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB
Phe|U75299|gene|Phenicol|Chloramphenicol_acetyltransferases|CAT,Phenicol,Chloramphenicol acetyltransferases,CAT
gi|6137225|gb|AF189721.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1245|LC055762.1|LC055762|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Flq|QnrB43|JQ349151|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Flq|NC_007793.3912939|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
